Contract Month,Last,Change,Open Interest,FALSE,1,3-Jan-17
February,527,unc,1134,TRUE,11,6-Sep-16
March,527,unc,1030,TRUE,11,6-Sep-16
April,533,unc,885,TRUE,11,6-Sep-16
May,533,Unc,885,TRUE,11,6-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,12,7-Sep-16
September,555,unc,1996,TRUE,12,7-Sep-16
October,530,unc,2429,TRUE,12,7-Sep-16
November,530,unc,1991,TRUE,12,7-Sep-16
December,530,unc,1782,TRUE,12,7-Sep-16
January,527,unc,1197,TRUE,12,7-Sep-16
February,527,unc,1147,TRUE,12,7-Sep-16
March,527,unc,1043,TRUE,12,7-Sep-16
April,520,-13,898,TRUE,12,7-Sep-16
May,520,-13,898,TRUE,12,7-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,13,8-Sep-16
September,555,unc,1996,TRUE,13,8-Sep-16
October,530,unc,2429,TRUE,13,8-Sep-16
November,530,unc,1991,TRUE,13,8-Sep-16
December,530,unc,1782,TRUE,13,8-Sep-16
January,527,unc,1197,TRUE,13,8-Sep-16
February,527,unc,1155,TRUE,13,8-Sep-16
March,519,-8,1043,TRUE,13,8-Sep-16
April,518,-2,904,TRUE,13,8-Sep-16
May,518,-2,898,TRUE,13,8-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,14,9-Sep-16
September,550,-5,1996,TRUE,14,9-Sep-16
October,520,-10,2429,TRUE,14,9-Sep-16
November,520,-10,1991,TRUE,14,9-Sep-16
December,520,-10,1782,TRUE,14,9-Sep-16
January,515,-12,1197,TRUE,14,9-Sep-16
February,515,-12,1155,TRUE,14,9-Sep-16
March,515,-4,1043,TRUE,14,9-Sep-16
April,515,-3,904,TRUE,14,9-Sep-16
May,515,-3,898,TRUE,14,9-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,15,12-Sep-16
September,550,unc,1996,TRUE,15,12-Sep-16
October,520,unc,2429,TRUE,15,12-Sep-16
November,520,unc,1991,TRUE,15,12-Sep-16
